,celebrity,professional,dance,song,series,week,running_order,score_craig,score_arlene,score_len,score_bruno,score_alesha,score_darcey,score_jennifer,score_donny,score_shirley,score_alfonso,score_motsi,score_anton,total
521,Rachel Stevens,Vincent Simone,Foxtrot,Close To You,6,14,1,10,10,10,10,0,0,0,0,0,0,0,0,40
522,Tom Chambers,Camilla Dallerup,Foxtrot,Here You Come Again,6,14,2,8,9,9,9,0,0,0,0,0,0,0,0,35
523,Lisa Snowdon,Brendan Cole,Foxtrot,Walking My Baby Back Home,6,14,3,10,10,10,10,0,0,0,0,0,0,0,0,40
524,Rachel Stevens,Vincent Simone,Rumba,You Do Something To Me,6,14,4,9,10,10,10,0,0,0,0,0,0,0,0,39
525,Tom Chambers,Camilla Dallerup,Salsa,Pa Goza Con Fruko,6,14,5,9,10,10,9,0,0,0,0,0,0,0,0,38
526,Lisa Snowdon,Brendan Cole,Cha-Cha-Cha,Tears Dry On Their Own,6,14,6,10,10,10,10,0,0,0,0,0,0,0,0,40
527,Lisa Snowdon,Brendan Cole,Show dance,I Would Do Anything For Love (But I Won't Do That),6,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
528,Rachel Stevens,Vincent Simone,Show dance,Flashdance...What a Feeling,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0
529,Tom Chambers,Camilla Dallerup,Show dance,If My Friends Could See Me Now,6,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0
530,Rav Wilding,Aliona Vilani,Tango,Baby Did A Bad Bad Thing,7,1,1,3,0,6,5,5,0,0,0,0,0,0,0,19
531,Ricky Groves,Erin Boag,Waltz,What'll I Do,7,1,2,4,0,6,5,6,0,0,0,0,0,0,0,21
532,Chris Hollins,Ola Jordan,Tango,Sharp Dressed Man,7,1,3,6,0,7,6,7,0,0,0,0,0,0,0,26
533,Jade Johnson,Ian Waite,Waltz,Weekend In New England,7,1,4,6,0,7,6,6,0,0,0,0,0,0,0,25
534,Martina Hingis,Matthew Cutler,Waltz,Jesse,7,1,5,4,0,6,6,6,0,0,0,0,0,0,0,22
535,Lynda Bellingham,Darren Bennett,Tango,Under Pressure,7,1,6,3,0,6,5,7,0,0,0,0,0,0,0,21
536,Ali Bastian,Brian Fortuna,Waltz,Reach Out And Touch,7,1,7,7,0,8,7,8,0,0,0,0,0,0,0,30
537,Joe Calzaghe,Kristina Rihanoff,Tango,Cite Tango,7,1,8,2,0,5,4,5,0,0,0,0,0,0,0,16
538,Jade Johnson,Ian Waite,Cha-Cha-Cha,Ain't No Other Man,7,1,9,6,0,7,7,7,0,0,0,0,0,0,0,27
539,Ali Bastian,Brian Fortuna,Rumba,That's What Friends Are For,7,1,10,7,0,7,8,8,0,0,0,0,0,0,0,30
540,Lynda Bellingham,Darren Bennett,Cha-Cha-Cha,Don't Go Breaking My Heart,7,1,11,5,0,6,6,6,0,0,0,0,0,0,0,23
541,Rav Wilding,Aliona Vilani,Rumba,Temptation,7,1,12,4,0,6,7,5,0,0,0,0,0,0,0,22
542,Chris Hollins,Ola Jordan,Rumba,Don't Know Much,7,1,13,7,0,8,8,7,0,0,0,0,0,0,0,30
543,Joe Calzaghe,Kristina Rihanoff,Cha-Cha-Cha,Chain of Fools,7,1,14,2,0,5,4,5,0,0,0,0,0,0,0,16
544,Martina Hingis,Matthew Cutler,Rumba,Alone,7,1,15,5,0,6,6,7,0,0,0,0,0,0,0,24
545,Ricky Groves,Erin Boag,Cha-Cha-Cha,Jump,7,1,16,6,0,7,6,7,0,0,0,0,0,0,0,26
546,Natalie Cassidy,Vincent Simone,Tango,Spider Of The Night,7,2,1,6,0,6,6,6,0,0,0,0,0,0,0,24
547,Zöe Lucker,James Jordan,Waltz,Some Day My Prince Will Come,7,2,2,7,0,8,8,7,0,0,0,0,0,0,0,30
548,Craig Kelly,Flavia Cacace,Tango,Jai Ho,7,2,3,5,0,6,6,5,0,0,0,0,0,0,0,22
549,Richard Dunwoody,Lilia Kopylova,Waltz,Truly,7,2,4,4,0,5,5,5,0,0,0,0,0,0,0,19
550,Laila Rouass,Anton du Beke,Tango,El Chocio,7,2,5,7,0,8,8,7,0,0,0,0,0,0,0,30
551,Phil Tufnell,Katya Virshilas,Waltz,Sam,7,2,6,7,0,8,7,7,0,0,0,0,0,0,0,29
552,Jo Wood,Brendan Cole,Tango,Let's Dance,7,2,7,3,0,5,5,5,0,0,0,0,0,0,0,18
553,Ricky Whittle,Natalie Lowe,Waltz,It Is You (I Have Loved),7,2,8,8,0,9,8,8,0,0,0,0,0,0,0,33
554,Phil Tufnell,Katya Virshilas,Cha-Cha-Cha,Daddy,7,2,9,4,0,6,6,6,0,0,0,0,0,0,0,22
555,Craig Kelly,Flavia Cacace,Rumba,Will You Still Love Me Tomorrow,7,2,10,5,0,6,6,5,0,0,0,0,0,0,0,22
556,Laila Rouass,Anton du Beke,Cha-Cha-Cha,Sway,7,2,11,6,0,7,6,6,0,0,0,0,0,0,0,25
557,Zöe Lucker,James Jordan,Rumba,Out Of Reach,7,2,12,8,0,7,8,8,0,0,0,0,0,0,0,31
558,Jo Wood,Brendan Cole,Rumba,Fallen,7,2,13,3,0,5,5,5,0,0,0,0,0,0,0,18
559,Richard Dunwoody,Lilia Kopylova,Cha-Cha-Cha,I'm Your Man,7,2,14,4,0,5,5,5,0,0,0,0,0,0,0,19
560,Ricky Whittle,Natalie Lowe,Rumba,Stepping Stone,7,2,15,8,0,8,8,8,0,0,0,0,0,0,0,32
561,Natalie Cassidy,Vincent Simone,Cha-Cha-Cha,Bang Bang,7,2,16,6,0,7,6,7,0,0,0,0,0,0,0,26
562,Ali Bastian,Brian Fortuna,Quickstep,I Get A Kick Out Of You,7,3,1,8,0,8,8,8,0,0,0,0,0,0,0,32
563,Lynda Bellingham,Darren Bennett,Paso Doble,Devil Woman,7,3,2,5,0,7,6,7,0,0,0,0,0,0,0,25
564,Chris Hollins,Ola Jordan,Quickstep,Dancin' Fool,7,3,3,5,0,6,6,6,0,0,0,0,0,0,0,23
565,Zöe Lucker,James Jordan,Paso Doble,You've Got The Love,7,3,4,7,0,8,8,8,0,0,0,0,0,0,0,31
566,Rav Wilding,Aliona Vilani,Quickstep,We Go Together,7,3,5,3,0,6,6,5,0,0,0,0,0,0,0,20
567,Natalie Cassidy,Vincent Simone,Paso Doble,Malaguena,7,3,6,6,0,7,7,8,0,0,0,0,0,0,0,28
568,Craig Kelly,Flavia Cacace,Quickstep,Peroxide Swing,7,3,7,4,0,6,5,6,0,0,0,0,0,0,0,21
569,Ricky Whittle,Natalie Lowe,Paso Doble,Spanish Gypsy Dance,7,3,8,8,0,9,9,9,0,0,0,0,0,0,0,35
570,Jade Johnson,Ian Waite,Quickstep,Fascination,7,3,9,7,0,8,8,8,0,0,0,0,0,0,0,31
571,Joe Calzaghe,Kristina Rihanoff,Paso Doble,Livin' On A Prayer,7,3,10,3,0,5,5,6,0,0,0,0,0,0,0,19
572,Laila Rouass,Anton du Beke,Quickstep,Strike Up The Band,7,3,11,8,0,8,7,7,0,0,0,0,0,0,0,30
573,Jo Wood,Brendan Cole,Paso Doble,Because The Night,7,3,12,3,0,6,5,6,0,0,0,0,0,0,0,20
574,Phil Tufnell,Katya Virshilas,Quickstep,Put On A Happy Face,7,3,13,5,0,6,7,6,0,0,0,0,0,0,0,24
575,Ricky Groves,Erin Boag,Paso Doble,One Vision,7,3,14,7,0,7,7,8,0,0,0,0,0,0,0,29
576,Zöe Lucker,James Jordan,Foxtrot,This Will Be (An Everlasting Love),7,4,1,8,0,9,8,8,0,0,0,0,0,0,0,33
577,Chris Hollins,Ola Jordan,Salsa,Micaela,7,4,2,5,0,6,7,7,0,0,0,0,0,0,0,25
578,Lynda Bellingham,Darren Bennett,Foxtrot,Calendar Girl,7,4,3,5,0,7,6,6,0,0,0,0,0,0,0,24
579,Ali Bastian,Brian Fortuna,Salsa,Quimbara,7,4,4,8,0,8,8,8,0,0,0,0,0,0,0,32
580,Jo Wood,Brendan Cole,Foxtrot,Crazy,7,4,5,4,0,6,5,5,0,0,0,0,0,0,0,20
581,Natalie Cassidy,Vincent Simone,Salsa,You'll Be Mine (Party Time),7,4,6,7,0,8,7,7,0,0,0,0,0,0,0,29
582,Joe Calzaghe,Kristina Rihanoff,Foxtrot,Feeling Good,7,4,7,3,0,6,5,6,0,0,0,0,0,0,0,20
583,Laila Rouass,Anton du Beke,Foxtrot,Just In Time,7,4,8,8,0,9,8,9,0,0,0,0,0,0,0,34
584,Ricky Whittle,Natalie Lowe,Salsa,Dancing Machine,7,4,9,8,0,8,8,8,0,0,0,0,0,0,0,32
585,Craig Kelly,Flavia Cacace,Foxtrot,Sometimes When We Touch,7,4,10,5,0,7,6,6,0,0,0,0,0,0,0,24
586,Jade Johnson,Ian Waite,Salsa,La Isla Bonita,7,4,11,7,0,7,7,8,0,0,0,0,0,0,0,29
587,Ricky Groves,Erin Boag,Foxtrot,All Of Me,7,4,12,6,0,8,7,7,0,0,0,0,0,0,0,28
588,Phil Tufnell,Katya Virshilas,Salsa,Long Train Running,7,4,13,4,0,7,7,6,0,0,0,0,0,0,0,24
589,Ricky Groves,Erin Boag,Jive,Boy From New York City,7,5,1,6,0,7,5,7,0,0,0,0,0,0,0,25
590,Jade Johnson,Ian Waite,Viennese Waltz,This Is A Man's World,7,5,2,8,0,9,9,9,0,0,0,0,0,0,0,35
591,Ali Bastian,Brian Fortuna,Jive,Tutti Fruiti,7,5,3,6,0,7,8,8,0,0,0,0,0,0,0,29
592,Jo Wood,Brendan Cole,Viennese Waltz,Trouble,7,5,4,5,0,7,5,6,0,0,0,0,0,0,0,23
593,Zöe Lucker,James Jordan,Jive,Tainted Love,7,5,5,7,0,8,7,8,0,0,0,0,0,0,0,30
594,Ricky Whittle,Natalie Lowe,Viennese Waltz,How Can I Be Sure?,7,5,6,8,0,9,9,10,0,0,0,0,0,0,0,36
595,Craig Kelly,Flavia Cacace,Jive,It Takes Two,7,5,7,4,0,6,5,5,0,0,0,0,0,0,0,20
596,Joe Calzaghe,Kristina Rihanoff,Jive,Rock This Town,7,5,8,4,0,6,5,6,0,0,0,0,0,0,0,21
597,Natalie Cassidy,Vincent Simone,Viennese Waltz,At Last,7,5,9,7,0,7,6,7,0,0,0,0,0,0,0,27
598,Laila Rouass,Anton du Beke,Jive,Modern Love,7,5,10,5,0,7,5,5,0,0,0,0,0,0,0,22
599,Phil Tufnell,Katya Virshilas,Viennese Waltz,Mad About The Boy,7,5,11,6,0,7,7,7,0,0,0,0,0,0,0,27
600,Chris Hollins,Ola Jordan,Jive,Roll Over Beethoven,7,5,12,5,0,6,5,6,0,0,0,0,0,0,0,22
601,Jade Johnson,Ian Waite,Samba,Independent Woman,7,6,1,8,0,8,8,8,0,0,0,0,0,0,0,32
602,Chris Hollins,Ola Jordan,American Smooth,Jimmy Mack,7,6,2,7,0,7,7,7,0,0,0,0,0,0,0,28
603,Phil Tufnell,Katya Virshilas,Samba,Daddy Cool,7,6,3,6,0,7,6,6,0,0,0,0,0,0,0,25
604,Zöe Lucker,James Jordan,American Smooth,My Girl,7,6,4,8,0,8,8,9,0,0,0,0,0,0,0,33
605,Craig Kelly,Flavia Cacace,Samba,Give It Up,7,6,5,3,0,6,5,4,0,0,0,0,0,0,0,18
606,Ricky Groves,Erin Boag,American Smooth,Chim-Chim-Cheree,7,6,6,7,0,8,7,7,0,0,0,0,0,0,0,29
607,Ricky Whittle,Natalie Lowe,Samba,Good Lovin',7,6,7,8,0,8,8,8,0,0,0,0,0,0,0,32
608,Natalie Cassidy,Vincent Simone,American Smooth,Please Don't Talk About Me When I'm Gone,7,6,8,7,0,8,7,7,0,0,0,0,0,0,0,29
609,Jo Wood,Brendan Cole,Samba,Superstition,7,6,9,2,0,5,4,3,0,0,0,0,0,0,0,14
610,Ali Bastian,Brian Fortuna,American Smooth,A Foggy Day In London Town,7,6,10,9,0,9,10,9,0,0,0,0,0,0,0,37
611,Laila Rouass,Anton du Beke,Samba,He's The Greatest Dancer,7,6,11,7,0,7,7,7,0,0,0,0,0,0,0,28
612,Natalie Cassidy,Vincent Simone,Jive,"Good Golly, Miss Molly",7,7,1,7,0,8,8,7,0,0,0,0,0,0,0,30
613,Ali Bastian,Brian Fortuna,Paso Doble,El Gato Montes,7,7,2,8,0,9,8,8,0,0,0,0,0,0,0,33
614,Craig Kelly,Flavia Cacace,Waltz,Don't Let The Sun Go Down On Me,7,7,3,5,0,7,5,7,0,0,0,0,0,0,0,24
615,Chris Hollins,Ola Jordan,Cha-Cha-Cha,Shake Your Groove Thing,7,7,4,7,0,8,7,7,0,0,0,0,0,0,0,29
616,Jade Johnson,Ian Waite,Foxtrot,Recipe For Love,7,7,5,8,0,9,9,9,0,0,0,0,0,0,0,35
617,Zöe Lucker,James Jordan,Samba,Boogie Nights,7,7,6,7,0,8,8,9,0,0,0,0,0,0,0,32
618,Ricky Groves,Erin Boag,Rumba,License To Kill,7,7,7,4,0,8,5,7,0,0,0,0,0,0,0,24
619,Laila Rouass,Anton du Beke,Viennese Waltz,Once Around The Block,7,7,8,8,0,9,8,8,0,0,0,0,0,0,0,33
620,Phil Tufnell,Katya Virshilas,Tango,Back To Black,7,7,9,7,0,7,8,8,0,0,0,0,0,0,0,30
621,Ricky Whittle,Natalie Lowe,Quickstep,Down With Love,7,7,10,9,0,10,10,10,0,0,0,0,0,0,0,39
622,Ricky Whittle,Natalie Lowe,Tango,You Really Got Me,7,8,1,8,0,9,9,9,0,0,0,0,0,0,0,35
623,Natalie Cassidy,Vincent Simone,Quickstep,Tu Vuo' Fa' L'Americano,7,8,2,7,0,8,8,8,0,0,0,0,0,0,0,31
624,Jade Johnson,Ian Waite,Jive,"Flip, Flop And Fly",7,8,3,8,0,8,8,9,0,0,0,0,0,0,0,33
625,Ali Bastian,Brian Fortuna,Viennese Waltz,"Do Right Woman, Do Right",7,8,4,10,0,10,10,10,0,0,0,0,0,0,0,40
626,Ricky Groves,Erin Boag,Salsa,Acuyuye,7,8,5,6,0,7,6,6,0,0,0,0,0,0,0,25
627,Laila Rouass,Anton du Beke,Paso Doble,Layla,7,8,6,7,0,7,8,8,0,0,0,0,0,0,0,30
628,Phil Tufnell,Katya Virshilas,Rumba,Maybe I'm Amazed,7,8,7,6,0,8,7,7,0,0,0,0,0,0,0,28
629,Chris Hollins,Ola Jordan,Foxtrot,I Could Have Danced All Night,7,8,8,8,0,9,8,9,0,0,0,0,0,0,0,34
630,Craig Kelly,Flavia Cacace,Cha-Cha-Cha,Easy Lover,7,8,9,3,0,5,5,4,0,0,0,0,0,0,0,17
631,Phil Tufnell,Katya Virshilas,American Smooth,Come Fly With Me,7,9,1,7,0,8,8,8,0,0,0,0,0,0,0,31
632,Ricky Whittle,Natalie Lowe,Jive,Rip It Up,7,9,2,8,0,9,9,9,0,0,0,0,0,0,0,35
633,Ricky Groves,Erin Boag,Viennese Waltz,Nights In White Satin,7,9,3,7,0,8,7,7,0,0,0,0,0,0,0,29
634,Chris Hollins,Ola Jordan,Paso Doble,I Believe In A Thing Called Love,7,9,4,6,0,8,7,9,0,0,0,0,0,0,0,30
635,Laila Rouass,Anton du Beke,Rumba,Rule The World,7,9,5,3,0,7,6,6,0,0,0,0,0,0,0,22
636,Natalie Cassidy,Vincent Simone,Foxtrot,Magic Moments,7,9,6,8,0,9,8,9,0,0,0,0,0,0,0,34
637,Ali Bastian,Brian Fortuna,Cha-Cha-Cha,I Gotta Feeling,7,9,7,9,0,8,9,9,0,0,0,0,0,0,0,35
638,Ali Bastian,Brian Fortuna,Foxtrot,Haven't Met You Yet,7,10,1,8,0,9,9,9,0,0,0,0,0,0,0,35
639,Natalie Cassidy,Vincent Simone,Samba,Holiday,7,10,2,6,0,7,5,8,0,0,0,0,0,0,0,26
640,Chris Hollins,Ola Jordan,Viennese Waltz,A New Day Has Come,7,10,3,7,0,8,7,7,0,0,0,0,0,0,0,29
641,Ricky Whittle,Natalie Lowe,American Smooth,Over The Rainbow,7,10,4,9,0,8,9,10,0,0,0,0,0,0,0,36
642,Laila Rouass,Anton du Beke,Waltz,Fascination,7,10,5,6,0,8,8,7,0,0,0,0,0,0,0,29
643,Ricky Groves,Erin Boag,Tango,U Got The Look,7,10,6,5,0,6,5,6,0,0,0,0,0,0,0,22
644,Chris Hollins,Ola Jordan,Charleston,Fat Sam's Grand Slam,7,11,1,8,0,8,9,9,0,0,0,0,0,0,0,34
645,Ricky Whittle,Natalie Lowe,Rock'n'Roll,Hound Dog,7,11,2,7,0,8,8,8,0,0,0,0,0,0,0,31
646,Ali Bastian,Brian Fortuna,Charleston,Pencil Full of Lead,7,11,3,9,0,9,9,10,0,0,0,0,0,0,0,37
647,Natalie Cassidy,Vincent Simone,Rock'n'Roll,Long Tall Sally,7,11,4,5,0,7,7,7,0,0,0,0,0,0,0,26
648,Laila Rouass,Anton du Beke,Charleston,"Yes Sir, That�s My Baby",7,11,5,6,0,9,8,8,0,0,0,0,0,0,0,31
649,Ali Bastian,Brian Fortuna,Tango,Born To Be Wild,7,12,1,8,0,8,8,9,9,0,0,0,0,0,0,42
650,Laila Rouass,Anton du Beke,American Smooth,My Kind Of Girl,7,12,2,6,0,7,7,7,6,0,0,0,0,0,0,33
651,Chris Hollins,Ola Jordan,Waltz,At This Moment,7,12,3,8,0,8,8,9,8,0,0,0,0,0,0,41
652,Ricky Whittle,Natalie Lowe,Foxtrot,Too Marvellous For Words,7,12,4,9,0,10,10,10,9,0,0,0,0,0,0,48
653,Ali Bastian,Brian Fortuna,Samba,Change,7,12,5,9,0,8,9,9,9,0,0,0,0,0,0,44
654,Laila Rouass,Anton du Beke,Salsa,Cogele el Gusto,7,12,6,5,0,6,5,5,5,0,0,0,0,0,0,26
655,Chris Hollins,Ola Jordan,Samba,Cuba,7,12,7,8,0,8,7,8,8,0,0,0,0,0,0,39
656,Ricky Whittle,Natalie Lowe,Cha-Cha-Cha,Sunshine Of Your Love,7,12,8,9,0,9,9,10,10,0,0,0,0,0,0,47
657,Chris Hollins,Ola Jordan,Rumba,Total Eclipse of the Heart,7,13,1,7,0,8,8,8,7,0,0,0,0,0,0,38
658,Ali Bastian,Brian Fortuna,Argentine Tango,Pa Bailar,7,13,2,8,0,9,9,8,8,0,0,0,0,0,0,42
659,Ricky Whittle,Natalie Lowe,Waltz,Kissing You,7,13,3,9,0,10,10,9,9,0,0,0,0,0,0,47
660,Chris Hollins,Ola Jordan,Argentine Tango,Bust Your Windows,7,13,4,8,0,9,8,9,8,0,0,0,0,0,0,42
661,Ali Bastian,Brian Fortuna,American Smooth,Come Dance With Me,7,13,5,10,0,10,10,10,10,0,0,0,0,0,0,50
662,Ricky Whittle,Natalie Lowe,Argentine Tango,Verano Porteno,7,13,6,9,0,10,10,10,10,0,0,0,0,0,0,49
663,Ricky Whittle,Natalie Lowe,Quickstep,Down With Love,7,14,1,10,0,10,10,10,10,0,0,0,0,0,0,50
664,Chris Hollins,Ola Jordan,Foxtrot,I Could Have Danced All Night,7,14,2,9,0,9,9,10,9,0,0,0,0,0,0,46
665,Ricky Whittle,Natalie Lowe,Lindy Hop,"Sing, Sing, Sing",7,14,3,8,0,9,9,9,8,0,0,0,0,0,0,43
666,Chris Hollins,Ola Jordan,Lindy Hop,"Sing, Sing, Sing",7,14,4,8,0,9,9,9,9,0,0,0,0,0,0,44
667,Chris Hollins,Ola Jordan,Charleston,Fat Sam's Grand Slam,7,14,5,10,0,10,10,10,10,0,0,0,0,0,0,50
668,Ricky Whittle,Natalie Lowe,Cha-Cha-Cha,Sunshine Of Your Love,7,14,6,9,0,9,10,10,10,0,0,0,0,0,0,48
669,Chris Hollins,Ola Jordan,Show dance,Do You Love Me?,7,14,7,9,0,9,9,10,9,0,0,0,0,0,0,46
670,Ricky Whittle,Natalie Lowe,Show dance,Last Dance,7,14,8,10,0,10,10,10,9,0,0,0,0,0,0,49
671,Felicity Kendal,Vincent Simone,Cha-Cha-Cha,Sunny,8,1,1,4,0,5,7,7,0,0,0,0,0,0,0,23
672,Scott Maslen,Natalie Lowe,Waltz,I Never Loved A Man,8,1,2,6,0,7,8,8,0,0,0,0,0,0,0,29
673,Goldie,Kristina Rihanoff,Cha-Cha-Cha,Tick Tock,8,1,3,3,0,6,5,6,0,0,0,0,0,0,0,20
674,Patsy Kensit,Robin Windsor,Waltz,When I Need You,8,1,4,4,0,6,6,6,0,0,0,0,0,0,0,22
675,Matt Baker,Aliona Vilani,Cha-Cha-Cha,Ain't No Mountain High Enough,8,1,5,7,0,8,8,8,0,0,0,0,0,0,0,31
676,Pamela Stephenson,James Jordan,Waltz,If I Ain't Got You,8,1,6,7,0,8,8,8,0,0,0,0,0,0,0,31
677,Paul Daniels,Ola Jordan,Cha-Cha-Cha,Could It Be Magic,8,1,7,2,0,5,4,5,0,0,0,0,0,0,0,16
678,Jimi Mistry,Flavia Cacace,Cha-Cha-Cha,Don't Upset The Rhythm (Go Baby Go),8,1,8,6,0,7,7,6,0,0,0,0,0,0,0,26
679,Peter Shilton,Erin Boag,Waltz,Take It To The Limit,8,1,9,4,0,6,5,6,0,0,0,0,0,0,0,21
680,Michelle Williams,Brendan Cole,Cha-Cha-Cha,Stone Cold Sober,8,1,10,5,0,6,6,7,0,0,0,0,0,0,0,24
681,Gavin Henson,Katya Virshilas,Waltz,You Light Up My Life,8,1,11,6,0,8,7,7,0,0,0,0,0,0,0,28
682,Tina O'Brien,Jared Murillo,Cha-Cha-Cha,California Gurls,8,1,12,5,0,7,6,6,0,0,0,0,0,0,0,24
683,Ann Widdecombe,Anton du Beke,Waltz,My Cherie,8,1,13,2,0,5,5,5,0,0,0,0,0,0,0,17
684,Kara Tointon,Artem Chigvintsev,Cha-Cha-Cha,I Like It,8,1,14,7,0,8,7,8,0,0,0,0,0,0,0,30
685,Matt Baker,Aliona Vilani,Foxtrot,She Said,8,2,1,7,0,8,8,8,0,0,0,0,0,0,0,31
686,Peter Shilton,Erin Boag,Salsa,Mambo No. 5,8,2,2,3,0,5,4,5,0,0,0,0,0,0,0,17
687,Tina O'Brien,Jared Murillo,Foxtrot,On The Sunny Side Of The Street,8,2,3,6,0,6,7,7,0,0,0,0,0,0,0,26
688,Patsy Kensit,Robin Windsor,Salsa,Canned Heat,8,2,4,7,0,7,7,7,0,0,0,0,0,0,0,28
689,Paul Daniels,Ola Jordan,Foxtrot,Lady Luck,8,2,5,4,0,6,5,6,0,0,0,0,0,0,0,21
690,Scott Maslen,Natalie Lowe,Salsa,Let's Hear It For The Boy,8,2,6,8,0,8,8,8,0,0,0,0,0,0,0,32
691,Michelle Williams,Brendan Cole,Foxtrot,It Had To Be You,8,2,7,6,0,7,6,7,0,0,0,0,0,0,0,26
692,Goldie,Kristina Rihanoff,Foxtrot,This Business of Love,8,2,8,6,0,7,6,7,0,0,0,0,0,0,0,26
693,Pamela Stephenson,James Jordan,Salsa,Doctor Beat,8,2,9,8,0,8,8,8,0,0,0,0,0,0,0,32
694,Felicity Kendal,Vincent Simone,Foxtrot,Somethin' Stupid,8,2,10,6,0,6,7,6,0,0,0,0,0,0,0,25
695,Ann Widdecombe,Anton du Beke,Salsa,Mambo Italiano,8,2,11,1,0,4,3,4,0,0,0,0,0,0,0,12
696,Kara Tointon,Artem Chigvintsev,Foxtrot,From Russia With Love,8,2,12,7,0,8,8,9,0,0,0,0,0,0,0,32
697,Gavin Henson,Katya Virshilas,Salsa,Don't Stop The Music,8,2,13,3,0,6,5,5,0,0,0,0,0,0,0,19
698,Jimi Mistry,Flavia Cacace,Foxtrot,Fever,8,2,14,7,0,7,8,8,0,0,0,0,0,0,0,30
699,Kara Tointon,Artem Chigvintsev,Quickstep,Are You Gonna Be My Girl,8,3,1,8,0,8,7,8,0,0,0,0,0,0,0,31
700,Felicity Kendal,Vincent Simone,Rumba,True Colours,8,3,2,7,0,7,7,8,0,0,0,0,0,0,0,29
701,Patsy Kensit,Robin Windsor,Quickstep,Black Horse and the Cherry Tree,8,3,3,5,0,6,6,7,0,0,0,0,0,0,0,24
702,Paul Daniels,Ola Jordan,Rumba,Take A Bow,8,3,4,2,0,5,4,5,0,0,0,0,0,0,0,16
703,Matt Baker,Aliona Vilani,Quickstep,Dreaming Of You,8,3,5,8,0,7,8,8,0,0,0,0,0,0,0,31
704,Gavin Henson,Katya Virshilas,Rumba,Always On My Mind,8,3,6,3,0,6,6,7,0,0,0,0,0,0,0,22
705,Scott Maslen,Natalie Lowe,Quickstep,I Wanna Be Like You,8,3,7,8,0,8,9,9,0,0,0,0,0,0,0,34
706,Michelle Williams,Brendan Cole,Rumba,Wicked Game,8,3,8,4,0,6,7,7,0,0,0,0,0,0,0,24
707,Peter Shilton,Erin Boag,Quickstep,Lullaby of Broadway,8,3,9,6,0,7,6,7,0,0,0,0,0,0,0,26
708,Jimi Mistry,Flavia Cacace,Rumba,Ain't No Sunshine,8,3,10,6,0,7,6,6,0,0,0,0,0,0,0,25
709,Ann Widdecombe,Anton du Beke,Quickstep,Puttin' On The Ritz,8,3,11,3,0,5,5,5,0,0,0,0,0,0,0,18
710,Pamela Stephenson,James Jordan,Rumba,Make You Feel My Love,8,3,12,9,0,8,9,9,0,0,0,0,0,0,0,35
711,Jimi Mistry,Flavia Cacace,Charleston,Do Your Thing,8,4,1,6,0,7,7,7,0,0,0,0,0,0,0,27
712,Scott Maslen,Natalie Lowe,Tango,Palladio,8,4,2,8,0,9,9,9,0,0,0,0,0,0,0,35
713,Tina O'Brien,Jared Murillo,Charleston,We Could Have Been Anything,8,4,3,7,0,7,7,8,0,0,0,0,0,0,0,29
714,Felicity Kendal,Vincent Simone,Tango,Gipsy Tango,8,4,4,7,0,7,8,7,0,0,0,0,0,0,0,29
715,Patsy Kensit,Robin Windsor,Charleston,Hot Honey Rag,8,4,5,6,0,8,7,7,0,0,0,0,0,0,0,28
716,Gavin Henson,Katya Virshilas,Tango,Toxic,8,4,6,5,0,6,6,6,0,0,0,0,0,0,0,23
717,Peter Shilton,Erin Boag,Charleston,Cabaret,8,4,7,2,0,5,4,6,0,0,0,0,0,0,0,17
718,Pamela Stephenson,James Jordan,Tango,Love Is The Drug,8,4,8,8,0,8,9,9,0,0,0,0,0,0,0,34
719,Matt Baker,Aliona Vilani,Charleston,42nd Street,8,4,9,9,0,9,8,9,0,0,0,0,0,0,0,35
720,Michelle Williams,Ian Waite,Tango,Killer,8,4,10,6,0,7,7,7,0,0,0,0,0,0,0,27
721,Kara Tointon,Artem Chigvintsev,Charleston,Put A Lid On It,8,4,11,8,0,8,8,8,0,0,0,0,0,0,0,32
722,Ann Widdecombe,Anton du Beke,Tango,La Cumparsita,8,4,12,3,0,7,5,6,0,0,0,0,0,0,0,21
723,Pamela Stephenson,James Jordan,Jive,Devil Gate Drive,8,5,1,6,0,7,7,7,0,0,0,0,0,0,0,27
724,Tina O'Brien,Jared Murillo,Argentine Tango,Beautiful Monster,8,5,2,6,0,8,7,7,0,0,0,0,0,0,0,28
725,Kara Tointon,Artem Chigvintsev,Paso Doble,The Phantom Of The Opera,8,5,3,9,0,9,9,10,0,0,0,0,0,0,0,37
726,Patsy Kensit,Robin Windsor,Jive,Monster Mash,8,5,4,7,0,8,8,8,0,0,0,0,0,0,0,31
727,Felicity Kendal,Vincent Simone,Viennese Waltz,Second Waltz,8,5,5,6,0,7,7,6,0,0,0,0,0,0,0,26
728,Jimi Mistry,Flavia Cacace,Paso Doble,Thriller,8,5,6,7,0,7,8,8,0,0,0,0,0,0,0,30
729,Michelle Williams,Brendan Cole,Jive,The Time Warp,8,5,7,7,0,6,8,8,0,0,0,0,0,0,0,29
730,Gavin Henson,Katya Virshilas,Paso Doble,Uprising,8,5,8,5,0,7,7,7,0,0,0,0,0,0,0,26
