,celebrity,professional,dance,song,series,week,running_order,score_craig,score_arlene,score_len,score_bruno,score_alesha,score_darcey,score_jennifer,score_donny,score_shirley,score_alfonso,score_motsi,score_anton,total
478,Cherie Lunghi,James Jordan,Waltz,I Wonder Why,6,8,5,9,9,9,9,0,0,0,0,0,0,0,0,36
479,Christine Bleakley,Matthew Cutler,Jive,Jailhouse Rock,6,8,6,7,8,8,8,0,0,0,0,0,0,0,0,31
480,Rachel Stevens,Vincent Simone,American Smooth,I've Got A Woman,6,8,7,8,9,9,9,0,0,0,0,0,0,0,0,35
481,John Sergeant,Kristina Rihanoff,Cha-Cha-Cha,Twist and Shout,6,8,8,1,3,4,4,0,0,0,0,0,0,0,0,12
482,Lisa Snowdon,Brendan Cole,Viennese Waltz,Bed of Roses,6,8,9,9,9,9,9,0,0,0,0,0,0,0,0,36
483,Jodie Kidd,Ian Waite,Quickstep,Mr. Pinstripe Suit,6,9,1,7,8,9,9,0,0,0,0,0,0,0,0,33
484,Lisa Snowdon,Brendan Cole,Samba,Rock The Boat,6,9,2,6,7,9,8,0,0,0,0,0,0,0,0,30
485,Christine Bleakley,Matthew Cutler,Waltz,See The Day,6,9,3,8,8,9,9,0,0,0,0,0,0,0,0,34
486,Cherie Lunghi,James Jordan,Cha-Cha-Cha,Play That Funky Music,6,9,4,7,8,8,9,0,0,0,0,0,0,0,0,32
487,Austin Healey,Erin Boag,Tango,Libertango,6,9,5,9,9,10,10,0,0,0,0,0,0,0,0,38
488,Rachel Stevens,Vincent Simone,Rumba,You Do Something To Me,6,9,6,9,10,10,10,0,0,0,0,0,0,0,0,39
489,John Sergeant,Kristina Rihanoff,American Smooth,True Love Ways,6,9,7,5,6,7,7,0,0,0,0,0,0,0,0,25
490,Tom Chambers,Camilla Dallerup,Salsa,Pa Goza Con Fruko,6,9,8,8,9,9,9,0,0,0,0,0,0,0,0,35
491,Lisa Snowdon,Brendan Cole,Quickstep,Yes,6,10,1,8,9,9,9,0,0,0,0,0,0,0,0,35
492,Christine Bleakley,Matthew Cutler,Cha-Cha-Cha,I Like It Like That,6,10,2,6,6,8,7,0,0,0,0,0,0,0,0,27
